source_name,nb of posts fb,nb comments fb,nb posts insta,nb comments insta,nb posts tik,nb comm tik,nb of posts maps,nb comments maps,total posts,total comments
American Burger,0,0,1,61,1,147,4,1356,6,1564
San Benito,5,1516,0,0,0,0,0,0,5,1516
Hicham Cook,0,0,1,85,0,0,4,1354,5,1439
Casbah Istanbul,0,0,0,0,0,0,4,1177,4,1177
Dzforestrestaurants,2,541,0,0,1,345,0,0,3,886
Casa Bella - Draria,2,638,0,0,1,103,0,0,3,741
À Petit Feu,0,0,1,11,0,0,2,533,3,544
Street2261,0,0,0,0,2,534,0,0,2,534
Pont Hydra,0,0,0,0,2,531,0,0,2,531
Sinai,0,0,1,23,2,501,0,0,3,524
Kfc,0,0,0,0,2,447,0,0,2,447
Lemanrais,1,272,1,3,1,100,0,0,3,375
Maestro,0,0,0,0,1,338,0,0,1,338
Autros,1,36,1,8,1,156,1,135,4,335
Helena,0,0,0,0,1,323,0,0,1,323
Cote Oran,0,0,0,0,1,319,0,0,1,319
تاج محل بن عكنون,0,0,0,0,0,0,1,315,1,315
Seven Times La Villa,0,0,1,20,1,260,0,0,2,280
Le216,0,0,0,0,1,253,0,0,1,253
Lagegarestaurant,1,101,1,6,1,134,0,0,3,241
